0.000000	-3.437500000000001110e-01
0.100000	-3.420883333333334386e-01
0.200000	-3.371633333333334259e-01
0.300000	-3.291550000000000864e-01
0.400000	-3.183633333333334425e-01
0.500000	-3.052083333333334703e-01
0.600000	-2.902300000000000990e-01
0.700000	-2.740883333333334893e-01
0.800000	-2.575633333333334773e-01
0.900000	-2.415550000000001307e-01
1.000000	-2.270833333333334703e-01
1.100000	-2.242596418732784036e-01
1.200000	-2.187500000000001665e-01
1.300000	-2.118466469428009480e-01
1.400000	-2.042942176870750082e-01
1.500000	-1.965277777777779122e-01
1.600000	-1.888020833333334814e-01
1.700000	-1.812644175317187356e-01
1.800000	-1.739969135802470201e-01
1.900000	-1.670417820867960423e-01
2.000000	-1.604166666666667906e-01
2.100000	-1.541241496598640681e-01
2.200000	-1.481577134986226951e-01
2.300000	-1.425055135475741530e-01
2.400000	-1.371527777777778734e-01
2.500000	-1.320833333333334136e-01
2.600000	-1.272805719921105416e-01
2.700000	-1.227280521262003460e-01
2.800000	-1.184098639455783003e-01
2.900000	-1.143108402695204723e-01
3.000000	-1.104166666666667185e-01
3.100000	-1.067139264654873854e-01
3.200000	-1.031901041666667129e-01
3.300000	-9.983356290174476289e-02
3.400000	-9.663350634371399572e-02
3.500000	-9.357993197278915987e-02
3.600000	-9.066358024691360817e-02
3.700000	-8.787588263939617728e-02
3.800000	-8.520891043397971210e-02
3.900000	-8.265532544378700885e-02
4.000000	-8.020833333333336757e-02
4.100000	-7.786163989688681120e-02
4.200000	-7.560941043083904689e-02
4.300000	-7.344623219758433796e-02
4.400000	-7.136707988980722783e-02
4.500000	-6.936728395061733665e-02
4.600000	-6.744250157529937950e-02
4.700000	-6.558869020673012418e-02
4.800000	-6.380208333333341197e-02
4.900000	-6.207916840205478237e-02
5.000000	-6.041666666666674346e-02
5.100000	-5.881151480199930948e-02
5.200000	-5.726084812623283282e-02
5.300000	-5.576198528539227234e-02
5.400000	-5.431241426611806145e-02
5.500000	-5.290977961432516419e-02
5.600000	-5.155187074829942206e-02
5.700000	-5.023661126500471308e-02
5.800000	-4.896204914783996998e-02
5.900000	-4.772634779277994121e-02
6.000000	-4.652777777777789003e-02
6.100000	-4.536470930753392500e-02
6.200000	-4.423560527228592720e-02
6.300000	-4.313901486520544531e-02
6.400000	-4.207356770833343973e-02
6.500000	-4.103796844181470393e-02
6.600000	-4.003099173553729961e-02
6.700000	-3.905147768619600390e-02
6.800000	-3.809832756632074158e-02
6.900000	-3.717049989498015516e-02
7.000000	-3.626700680272119254e-02
7.100000	-3.538691066587327377e-02
7.200000	-3.452932098765441882e-02
7.300000	-3.369339150559840651e-02
7.400000	-3.287831750669599484e-02
7.500000	-3.208333333333343584e-02
7.600000	-3.130771006463536899e-02
7.700000	-3.055075335919501395e-02
7.800000	-2.981180144641693008e-02
7.900000	-2.909022325482039234e-02
8.000000	-2.838541666666677399e-02
8.100000	-2.769680688919383404e-02
8.200000	-2.702384493357139206e-02
8.300000	-2.636600619344858787e-02
8.400000	-2.572278911564635992e-02
8.500000	-2.509371395617080586e-02
8.600000	-2.447832161528764802e-02
8.700000	-2.387617254591105700e-02
8.800000	-2.328684573002764296e-02
8.900000	-2.270993771830165375e-02
9.000000	-2.214506172839516771e-02
9.100000	-2.159184679789084502e-02
9.200000	-2.104993698802781754e-02
9.300000	-2.051899063475555798e-02
9.400000	-1.999867964388118632e-02
9.500000	-1.948868882733158572e-02
9.600000	-1.898871527777786644e-02
9.700000	-1.849846777907686313e-02
9.800000	-1.801766625017364037e-02
9.900000	-1.754604122028374097e-02
10.000000	-1.708333333333342252e-02
